Simplified VQ-VAE (autoresearch)
  latent_dim: 64, num_codes: 512
  TIME_BUDGET: 300s (wall after step 10)
  train wavs: 5700, val wavs: 299
  device: cuda, amp=True

step 00147 (3.7%) | loss: 1.1110 | recon: 0.0481 | vq: 1.2099 | H: 2.79 | dt: 79ms | rem: 289s 
step 00148 (3.7%) | loss: 1.1329 | recon: 0.0489 | vq: 1.2587 | H: 2.78 | dt: 81ms | rem: 289s 
step 00149 (3.7%) | loss: 1.1518 | recon: 0.0485 | vq: 1.2518 | H: 2.82 | dt: 81ms | rem: 289s 
step 00150 (3.7%) | loss: 1.1719 | recon: 0.0483 | vq: 1.2826 | H: 2.84 | dt: 84ms | rem: 289s 
step 00151 (3.8%) | loss: 1.1901 | recon: 0.0484 | vq: 1.2840 | H: 2.85 | dt: 82ms | rem: 289s 
step 00152 (3.8%) | loss: 1.2081 | recon: 0.0479 | vq: 1.3004 | H: 2.83 | dt: 81ms | rem: 289s 
step 00153 (3.8%) | loss: 1.2254 | recon: 0.0475 | vq: 1.3111 | H: 2.85 | dt: 83ms | rem: 289s 
step 00154 (3.8%) | loss: 1.2423 | recon: 0.0472 | vq: 1.3254 | H: 2.88 | dt: 81ms | rem: 288s 
step 00155 (3.9%) | loss: 1.2576 | recon: 0.0471 | vq: 1.3271 | H: 2.91 | dt: 82ms | rem: 288s 
step 00156 (3.9%) | loss: 1.2722 | recon: 0.0468 | vq: 1.3356 | H: 2.90 | dt: 82ms | rem: 288s 
step 00157 (3.9%) | loss: 1.2814 | recon: 0.0463 | vq: 1.2968 | H: 2.98 | dt: 80ms | rem: 288s 
step 00158 (4.0%) | loss: 1.2925 | recon: 0.0462 | vq: 1.3250 | H: 2.97 | dt: 78ms | rem: 288s 
step 00159 (4.0%) | loss: 1.3064 | recon: 0.0459 | vq: 1.3642 | H: 2.94 | dt: 85ms | rem: 288s 
step 00160 (4.0%) | loss: 1.3167 | recon: 0.0463 | vq: 1.3428 | H: 3.04 | dt: 81ms | rem: 288s 
step 00161 (4.0%) | loss: 1.3330 | recon: 0.0462 | vq: 1.4121 | H: 2.92 | dt: 85ms | rem: 288s 
step 00162 (4.1%) | loss: 1.3452 | recon: 0.0453 | vq: 1.3880 | H: 2.99 | dt: 83ms | rem: 288s 
step 00163 (4.1%) | loss: 1.3551 | recon: 0.0453 | vq: 1.3778 | H: 3.03 | dt: 82ms | rem: 288s 
step 00164 (4.1%) | loss: 1.3653 | recon: 0.0451 | vq: 1.3911 | H: 3.01 | dt: 83ms | rem: 288s 
step 00165 (4.1%) | loss: 1.3702 | recon: 0.0450 | vq: 1.3495 | H: 3.08 | dt: 81ms | rem: 288s 
step 00166 (4.2%) | loss: 1.3717 | recon: 0.0441 | vq: 1.3207 | H: 3.11 | dt: 82ms | rem: 287s 
step 00167 (4.2%) | loss: 1.3813 | recon: 0.0440 | vq: 1.4021 | H: 3.03 | dt: 85ms | rem: 287s 
step 00168 (4.2%) | loss: 1.3876 | recon: 0.0440 | vq: 1.3796 | H: 3.11 | dt: 80ms | rem: 287s 
step 00169 (4.3%) | loss: 1.3924 | recon: 0.0438 | vq: 1.3723 | H: 3.12 | dt: 82ms | rem: 287s 
step 00170 (4.3%) | loss: 1.3973 | recon: 0.0435 | vq: 1.3774 | H: 3.12 | dt: 79ms | rem: 287s 
step 00171 (4.3%) | loss: 1.4039 | recon: 0.0434 | vq: 1.3992 | H: 3.12 | dt: 84ms | rem: 287s 
step 00172 (4.3%) | loss: 1.4093 | recon: 0.0435 | vq: 1.3937 | H: 3.08 | dt: 83ms | rem: 287s 
step 00173 (4.4%) | loss: 1.4159 | recon: 0.0428 | vq: 1.4127 | H: 3.13 | dt: 84ms | rem: 287s 
step 00174 (4.4%) | loss: 1.4168 | recon: 0.0423 | vq: 1.3619 | H: 3.15 | dt: 84ms | rem: 287s 
step 00175 (4.4%) | loss: 1.4192 | recon: 0.0423 | vq: 1.3785 | H: 3.14 | dt: 80ms | rem: 287s 
step 00176 (4.4%) | loss: 1.4208 | recon: 0.0421 | vq: 1.3727 | H: 3.15 | dt: 84ms | rem: 287s 
step 00177 (4.5%) | loss: 1.4256 | recon: 0.0416 | vq: 1.4070 | H: 3.14 | dt: 84ms | rem: 287s 
step 00178 (4.5%) | loss: 1.4280 | recon: 0.0416 | vq: 1.3880 | H: 3.15 | dt: 87ms | rem: 286s 
step 00179 (5.7%) | loss: 1.4305 | recon: 0.0422 | vq: 1.3903 | H: 3.21 | dt: 3628ms | rem: 283s 
step 00180 (5.8%) | loss: 1.4387 | recon: 0.0413 | vq: 1.4505 | H: 3.11 | dt: 107ms | rem: 283s 
step 00181 (5.8%) | loss: 1.4414 | recon: 0.0410 | vq: 1.4049 | H: 3.14 | dt: 78ms | rem: 283s 
step 00182 (5.8%) | loss: 1.4441 | recon: 0.0407 | vq: 1.4080 | H: 3.19 | dt: 76ms | rem: 283s 
step 00183 (5.8%) | loss: 1.4481 | recon: 0.0407 | vq: 1.4232 | H: 3.20 | dt: 80ms | rem: 283s 
step 00184 (5.9%) | loss: 1.4493 | recon: 0.0406 | vq: 1.3995 | H: 3.21 | dt: 75ms | rem: 282s 
step 00185 (5.9%) | loss: 1.4534 | recon: 0.0404 | vq: 1.4296 | H: 3.24 | dt: 79ms | rem: 282s 
step 00186 (5.9%) | loss: 1.4556 | recon: 0.0401 | vq: 1.4154 | H: 3.24 | dt: 82ms | rem: 282s 
step 00187 (5.9%) | loss: 1.4589 | recon: 0.0398 | vq: 1.4290 | H: 3.23 | dt: 80ms | rem: 282s 
step 00188 (6.0%) | loss: 1.4649 | recon: 0.0397 | vq: 1.4592 | H: 3.17 | dt: 84ms | rem: 282s 
step 00189 (6.0%) | loss: 1.4707 | recon: 0.0393 | vq: 1.4638 | H: 3.22 | dt: 86ms | rem: 282s 
step 00190 (6.0%) | loss: 1.4763 | recon: 0.0391 | vq: 1.4683 | H: 3.26 | dt: 94ms | rem: 282s 
step 00191 (6.1%) | loss: 1.4828 | recon: 0.0389 | vq: 1.4823 | H: 3.24 | dt: 85ms | rem: 282s 
step 00192 (6.1%) | loss: 1.4898 | recon: 0.0386 | vq: 1.4938 | H: 3.21 | dt: 79ms | rem: 282s 
step 00193 (6.1%) | loss: 1.4942 | recon: 0.0385 | vq: 1.4765 | H: 3.30 | dt: 73ms | rem: 282s 
step 00194 (6.1%) | loss: 1.5035 | recon: 0.0386 | vq: 1.5282 | H: 3.23 | dt: 79ms | rem: 282s 
step 00195 (6.2%) | loss: 1.5098 | recon: 0.0386 | vq: 1.5079 | H: 3.23 | dt: 78ms | rem: 282s 
step 00196 (6.2%) | loss: 1.5168 | recon: 0.0388 | vq: 1.5214 | H: 3.25 | dt: 77ms | rem: 281s 
step 00197 (6.2%) | loss: 1.5242 | recon: 0.0378 | vq: 1.5338 | H: 3.27 | dt: 78ms | rem: 281s 
step 00198 (6.2%) | loss: 1.5317 | recon: 0.0382 | vq: 1.5415 | H: 3.28 | dt: 84ms | rem: 281s 
step 00199 (6.3%) | loss: 1.5454 | recon: 0.0379 | vq: 1.6107 | H: 3.28 | dt: 79ms | rem: 281s 
step 00200 (6.3%) | loss: 1.5583 | recon: 0.0376 | vq: 1.6178 | H: 3.26 | dt: 82ms | rem: 281s 
step 00201 (6.3%) | loss: 1.5684 | recon: 0.0376 | vq: 1.6019 | H: 3.28 | dt: 86ms | rem: 281s 
step 00202 (6.3%) | loss: 1.5862 | recon: 0.0371 | vq: 1.6890 | H: 3.25 | dt: 88ms | rem: 281s 
step 00203 (6.4%) | loss: 1.5997 | recon: 0.0371 | vq: 1.6652 | H: 3.29 | dt: 83ms | rem: 281s 
step 00204 (6.4%) | loss: 1.6110 | recon: 0.0371 | vq: 1.6556 | H: 3.30 | dt: 78ms | rem: 281s 
step 00205 (6.4%) | loss: 1.6278 | recon: 0.0364 | vq: 1.7226 | H: 3.24 | dt: 74ms | rem: 281s 
